bank_id,bank_name,quarter_end_date,total_assets,total_loans,allowance_for_credit_losses,noncurrent_loans,net_charge_offs,deposits,tier1_capital,risk_weighted_assets,total_equity_capital,net_income
8752,FIRST TRUST&SAVINGS BANK,2025-12-31,300105,261300,1.2191664303941026,2.3559209904545884,0.3057645402168234,252914,0,0,30756,3348
8760,FARMERS STATE BANK,2025-12-31,151040,110608,1.2772338203661224,0.696186149465811,0.07873343514926151,131438,0,0,18710,1972
8761,KERNDT BROTHERS SAVINGS BANK,2025-12-31,335274,224941,1.13743742555894,1.4266313305117149,0.3248501289046727,273436,0,0,35780,1364
8762,SACRAMENTO DEPOSIT BANK,2025-12-31,146971,92120,1.0026544012551988,0.5749411625632704,0.01569387087083047,134863,14.391744925623923,14.391744925623923,10841,2546
8772,SPRINGFIELD STATE BANK,2025-12-31,476666,327941,1.0655468167844742,0.1134330699634661,0.00896406179568085,376449,0,0,55508,4589
8774,CECILIAN BANK,2025-12-31,1561197,1046155,1.1207801794495909,0.3887475862772953,0.07948553421015052,1284890,0,0,163242,21346
8775,BANK OF COLUMBIA,2025-12-31,230045,185183,1.5748408151116686,1.149107607921508,0.02786583381262567,202916,0,0,19559,5309
8785,PEOPLES EXCHANGE BANK,2025-12-31,614539,492221,1.1898070452957754,0.07487734568842995,0.05620327069974726,530819,0,0,56478,6302
8798,COTTONPORT BANK,2025-12-31,564315,359512,1.30915419689745,0.7414605757643138,0.09885091557786982,488608,0,0,74297,8552
8799,JACKSON PARISH BANK,2025-12-31,78349,31851,0.9022743536293208,2.16545844871037,-0.02062039907345673,65924,0,0,12251,853
8811,HEBRON SAVINGS BANK,2025-12-31,813727,618227,1.3576689387557122,0.1708853488550203,0.00703345867757253,700380,15.618062423239952,15.618062423239952,102303,13023
8816,QUEENSTOWN BANK OF MARYLAND,2025-12-31,714601,450541,1.441168685425777,0.16384871666422388,-0.00793947999052555,635779,18.200771531359717,18.200771531359717,73606,5686
8821,UNITED FARMERS STATE BANK,2025-12-31,235329,209993,1.164416121091746,0.13743310725900965,0.10043145751898502,180896,0,0,22193,4523
8822,ADRIAN STATE BANK,2025-12-31,63686,41345,1.4797693370824,0.00238288138016489,0.00754166771412051,57246,0,0,6224,578
8824,EAGLE BANK,2025-12-31,223617,138185,1.7351111111111113,1.010488888888889,0.15289778048289235,185636,20.975396072132583,20.975396072132583,31107,3925
8833,CURRIE STATE BANK,2025-12-31,101806,94762,1.4117916332879037,5.624278238433608,0.11201672783135616,89341,0,0,11089,1389
8840,PEOPLES STATE BANK OF WELLS,2025-12-31,62129,40712,1.2707343098263653,0.03152585119798234,0,55228,14.76457574470938,14.76457574470938,6775,942
8842,GRAND MARAIS STATE BANK,2025-12-31,122930,82171,0.9546424309632006,0,0.029672824852926,112791,13.614063777596074,13.614063777596074,9719,1652
8843,AMERICAN HERITAGE NB,2025-12-31,586606,434191,1.3711108132849643,0.08972643658839645,-0.00346571758375715,509356,16.536697742544067,16.536697742544067,72814,6149
8845,FARMERS&MERCHANTS STB APPLET,2025-12-31,60411,50597,2.3110785033015406,1.901764683167935,0.00979965583608703,51064,0,0,8205,1868
8848,CENBANK,2025-12-31,87184,46800,1.06544901065449,0,0.13451536037305592,80576,11.632876919585446,11.632876919585446,6216,935
8850,NORTH SHORE BANK OF COMMERCE,2025-12-31,582836,437115,0.6161541522196329,0.17779798783607118,9.2942676674734e-4,493396,0,0,50611,8556
8851,PARK STATE BANK,2025-12-31,1485132,883899,1.2204689211238011,0.693659059922666,0.00466453993983881,1218888,14.72707305378107,14.72707305378107,143610,20550
8853,GLENWOOD STATE BANK INC,2025-12-31,565766,502631,1.154373344398536,1.3626325218632804,0.00138883598085152,489766,10.934777395891617,10.934777395891617,54532,8588
8857,GROVE BANK,2025-12-31,56642,35620,1.0418113626892624,0.22503125434088067,0,45090,13.43688926114876,13.43688926114876,7032,-88
8858,STATE BANK OF CHANDLER,2025-12-31,70073,47656,1.5331212033555106,1.547584610934336,0.09532062391681108,59871,15.417451601266585,15.417451601266585,7507,872
8863,WOODLAND BANK,2025-12-31,167898,129762,0.8898088247649453,0.914249925531021,0.1116813991065488,141735,11.055948205286125,11.055948205286125,14239,1218
8865,HERITAGE BANK MINNESOTA,2025-12-31,117519,95983,0.9402026957293536,0.3901170351105332,-0.03166489494040214,104861,9.787731831139478,9.787731831139478,7271,734
8866,MERCHANTS BANK NATIONAL ASSN,2025-12-31,2898711,2025196,1.26736063713197,0.8326865549397618,0.0634296833426828,2522900,12.901042022667545,12.901042022667545,335617,34690
