Feature,Gain,Cover,Frequency
npa_ratio,0.42261962504993533,0.22391448562489794,0.1702970297029703
reserve_coverage_ratio,0.13777988239705294,0.17627002165297417,0.15247524752475247
roa,0.12237870649895334,0.1640666553199586,0.17722772277227722
capital_ratio,0.08641010232731458,0.12577807699329777,0.12871287128712872
equity_to_assets,0.08610820085519376,0.13240792690687714,0.13366336633663367
deposits_to_assets,0.07773535569155841,0.09754226385621817,0.12079207920792079
loans_to_assets,0.066968127179991635,0.08002056964577624,0.11683168316831684
