model,n_valid_runs,mean_accuracy,sd_accuracy,mean_auc,sd_auc,mean_precision,mean_recall,mean_f1
Logistic Regression,30,0.7658467845247245,0.010543853303601709,0.2924002492569019,0.017579726433630996,0.7729719197714018,0.9750696224544995,0.8622511955739991
Random Forest,30,0.7678196259287727,0.010654278922211628,0.259710419572639,0.014510289872622935,0.7869131346022155,0.9462202408946252,0.8591737910061964
